,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,drift_ptp,drift_std,drift_mad
0,1041,0.6641127638034421,1.0,0.2089473713969269,0.0,0,0.0,0,,0.0,0.0,0.0,2.4799999999999955,1.0989756053664996,0.0,-21.94281005859375,4.909883499145508,9.361014467477801,,,
1,105,0.06698543727124055,0.34615384615384615,0.5933105882648412,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,1.3139006722689486,,-68.81924438476562,,,,,
